Date/Time: 2018-02-23-13-19-05
Scenario: #1
Device Name: ABPC
Stethoscope ID: 00:06:66:D0:C9:A5
Units: seconds, kPa, mmHg
11943.85, 0.50, 3.74
11944.10, 0.50, 3.74
11944.37, 0.50, 3.74
11944.62, 0.50, 3.74
11944.87, 0.50, 3.73
11945.13, 0.50, 3.74
11945.39, 0.50, 3.74
11945.64, 0.50, 3.74
11945.90, 0.50, 3.74
11946.15, 0.50, 3.74
11946.41, 0.50, 3.74
11946.66, 0.50, 3.74
11946.92, 0.50, 3.74
11947.17, 0.50, 3.74
11947.43, 0.50, 3.74
11947.69, 0.50, 3.74
11947.94, 0.50, 3.74
11948.20, 0.50, 3.74
11948.45, 0.50, 3.74
11948.71, 0.50, 3.74
11948.97, 0.50, 3.73
11949.22, 0.50, 3.76
11949.48, 0.50, 3.74
11949.74, 0.50, 3.74
11950.00, 0.50, 3.74
11950.25, 0.50, 3.74
11950.50, 0.50, 3.74
11950.75, 0.50, 3.76
11951.01, 0.50, 3.74
11951.26, 0.50, 3.74
11951.52, 0.50, 3.74
11951.78, 0.50, 3.73
11952.03, 0.50, 3.74
11952.29, 0.50, 3.73
11952.56, 0.50, 3.74
11952.81, 0.50, 3.74
11953.06, 0.50, 3.74
11953.32, 0.50, 3.74
11953.58, 0.50, 3.73
11953.83, 0.50, 3.73
11954.09, 0.50, 3.76
11954.34, 0.50, 3.74
11954.60, 0.50, 3.74
11954.86, 0.50, 3.74
11955.11, 0.50, 3.73
11955.37, 0.50, 3.74
11955.62, 0.50, 3.74
11955.87, 0.50, 3.74
11956.12, 0.50, 3.74
11956.38, 0.50, 3.74
11956.64, 0.50, 3.74
11956.89, 0.50, 3.74
11957.14, 0.50, 3.73
11957.40, 0.50, 3.73
11957.65, 0.50, 3.74
11957.91, 0.50, 3.74
11958.16, 0.50, 3.73
11958.42, 0.50, 3.74
11958.67, 0.50, 3.74
11958.93, 0.50, 3.73
11959.18, 0.50, 3.74
11959.44, 0.50, 3.73
11959.69, 0.50, 3.74
11959.95, 0.50, 3.73
11960.21, 0.50, 3.76
11960.47, 0.50, 3.73
11960.73, 0.50, 3.73
11960.99, 0.50, 3.74
11961.25, 0.50, 3.73
11961.50, 0.50, 3.74
11961.75, 0.50, 3.73
11962.01, 0.50, 3.74
11962.26, 0.50, 3.74
11962.52, 0.50, 3.74
11962.77, 0.50, 3.73
11963.03, 0.50, 3.74
11963.28, 0.50, 3.74
11963.53, 0.50, 3.74
11963.79, 0.50, 3.74
11964.05, 0.50, 3.74
11964.30, 0.50, 3.73
11964.56, 0.50, 3.74
11964.82, 0.50, 3.74
11965.07, 0.50, 3.73
11965.33, 0.50, 3.74
11965.59, 0.50, 3.74
11965.84, 0.50, 3.74
11966.10, 0.50, 3.74
11966.35, 0.50, 3.74
11966.61, 0.50, 3.73
11966.87, 0.50, 3.74
11967.13, 0.50, 3.74
11967.38, 0.50, 3.74
11967.64, 0.50, 3.74
11967.89, 0.50, 3.74
11968.14, 0.50, 3.74
11968.39, 0.50, 3.76
11968.65, 0.50, 3.74
11968.91, 0.50, 3.74
11969.17, 0.50, 3.73
11969.42, 0.50, 3.74
11969.68, 0.50, 3.74
11969.93, 0.50, 3.73
11970.19, 0.50, 3.74
11970.44, 0.50, 3.74
11970.69, 0.50, 3.73
11970.95, 0.50, 3.74
11971.20, 0.50, 3.74
11971.46, 0.50, 3.74
11971.71, 0.50, 3.74
11971.97, 0.50, 3.74
11972.23, 0.50, 3.74
11972.48, 0.50, 3.76
11972.74, 0.50, 3.74
11973.00, 0.50, 3.74
11973.25, 0.50, 3.74
11973.50, 0.50, 3.74
11973.76, 0.50, 3.74
11974.02, 0.50, 3.74
11974.27, 0.50, 3.74
11974.53, 0.50, 3.76
11974.78, 0.50, 3.74
11975.04, 0.50, 3.73
11975.29, 0.50, 3.74
11975.56, 0.50, 3.74
11975.81, 0.50, 3.74
11976.06, 0.50, 3.74
11976.32, 0.50, 3.74
11976.58, 0.50, 3.74
11976.83, 0.50, 3.74
11977.08, 0.50, 3.74
11977.33, 0.50, 3.74
11977.59, 0.50, 3.74
11977.85, 0.50, 3.74
11978.10, 0.50, 3.74
11978.35, 0.50, 3.74
11978.61, 0.50, 3.73
11978.86, 0.50, 3.74
11979.12, 0.50, 3.74
11979.38, 0.50, 3.74
11979.63, 0.50, 3.74
11979.89, 0.50, 3.74
11980.15, 0.50, 3.74
11980.41, 0.50, 3.73
11980.66, 0.50, 3.74
11980.92, 0.50, 3.74
11981.17, 0.50, 3.74
11981.43, 0.50, 3.74
11981.69, 0.50, 3.74
11981.94, 0.50, 3.74
11982.19, 0.50, 3.74
11982.45, 0.50, 3.74
11982.71, 0.50, 3.74
11982.96, 0.50, 3.74
11983.21, 0.50, 3.73
11983.47, 0.50, 3.74
11983.72, 0.50, 3.74
11983.98, 0.50, 3.74
11984.23, 0.50, 3.74
11984.49, 0.50, 3.74
11984.74, 0.50, 3.74
11985.00, 0.50, 3.74
11985.25, 0.50, 3.74
11985.50, 0.50, 3.74
11985.76, 0.50, 3.74
11986.01, 0.50, 3.74
11986.26, 0.50, 3.74
11986.52, 0.50, 3.74
11986.77, 0.50, 3.74
11987.03, 0.50, 3.73
11987.28, 0.50, 3.73
11987.54, 0.50, 3.74
11987.79, 0.50, 3.74
11988.04, 0.50, 3.74
11988.30, 0.50, 3.74
11988.55, 0.50, 3.74
11988.80, 0.50, 3.74
11989.06, 0.50, 3.74
11989.32, 0.50, 3.73
11989.57, 0.50, 3.74
11989.83, 0.50, 3.74
11990.09, 0.50, 3.74
11990.34, 0.50, 3.73
11990.60, 0.50, 3.74
11990.85, 0.50, 3.74
11991.11, 0.50, 3.74
11991.36, 0.50, 3.74
11991.62, 0.50, 3.74
11991.88, 0.50, 3.74
11992.13, 0.50, 3.74
11992.38, 0.50, 3.74
11992.64, 0.50, 3.74
11992.89, 0.50, 3.73
11993.15, 0.50, 3.74
11993.40, 0.50, 3.74
11993.66, 0.50, 3.74
11993.91, 0.50, 3.74
11994.16, 0.50, 3.74
11994.42, 0.50, 3.74
11994.68, 0.50, 3.74
11994.93, 0.50, 3.74
11995.19, 0.50, 3.73
11995.44, 0.50, 3.74
11995.70, 0.50, 3.74
11995.95, 0.50, 3.73
11996.20, 0.50, 3.73
11996.46, 0.50, 3.74
11996.72, 0.50, 3.74
11996.97, 0.50, 3.74
11997.22, 0.50, 3.74
11997.47, 0.50, 3.74
11997.73, 0.50, 3.74
11997.98, 0.50, 3.74
11998.24, 0.50, 3.74
11998.50, 0.50, 3.74
11998.75, 0.50, 3.74
11999.01, 0.50, 3.74
11999.26, 0.50, 3.74
11999.52, 0.50, 3.76
11999.77, 0.50, 3.76
12000.02, 0.50, 3.76
12000.28, 0.50, 3.74
12000.53, 0.50, 3.74
12000.79, 0.50, 3.74
12001.04, 0.50, 3.74
12001.29, 0.50, 3.74
12001.54, 0.50, 3.76
12001.80, 0.50, 3.74
12002.06, 0.50, 3.74
12002.31, 0.50, 3.74
12002.57, 0.50, 3.74
12002.83, 0.50, 3.74
12003.08, 0.50, 3.74
12003.34, 0.50, 3.74
12003.59, 0.50, 3.76
12003.85, 0.50, 3.74
12004.10, 0.50, 3.74
12004.36, 0.50, 3.74
12004.61, 0.50, 3.74
12004.87, 0.50, 3.74
12005.12, 0.50, 3.74
12005.38, 0.50, 3.74
12005.64, 0.50, 3.74
12005.89, 0.50, 3.74
12006.14, 0.50, 3.74
12006.40, 0.50, 3.74
12006.66, 0.50, 3.74
12006.92, 0.50, 3.74
12007.18, 0.50, 3.74
12007.44, 0.50, 3.74
12007.69, 0.50, 3.74
12007.95, 0.50, 3.74
12008.20, 0.50, 3.73
12008.46, 0.50, 3.74
12008.71, 0.50, 3.74
12008.96, 0.50, 3.73
12009.22, 0.50, 3.76
12009.47, 0.50, 3.74
12009.73, 0.50, 3.73
12009.99, 0.50, 3.74
12010.24, 0.50, 3.74
12010.49, 0.50, 3.74
12010.75, 0.50, 3.73
12011.00, 0.50, 3.74
12011.26, 0.50, 3.73
12011.51, 0.50, 3.73
12011.77, 0.50, 3.73
12012.02, 0.50, 3.73
12012.27, 0.50, 3.76
12012.53, 0.50, 3.74
12012.79, 0.50, 3.74
12013.05, 0.50, 3.74
12013.30, 0.50, 3.74
12013.56, 0.50, 3.73
12013.81, 0.50, 3.74
12014.07, 0.50, 3.74
12014.33, 0.50, 3.76
12014.58, 0.50, 3.74
12014.84, 0.50, 3.74
12015.09, 0.50, 3.74
12015.34, 0.50, 3.74
12015.60, 0.50, 3.74
12015.85, 0.50, 3.74
12016.11, 0.50, 3.74
12016.36, 0.50, 3.73
12016.62, 0.50, 3.74
12016.87, 0.50, 3.74
12017.13, 0.50, 3.74
12017.38, 0.50, 3.74
12017.64, 0.50, 3.73
12017.89, 0.50, 3.74
12018.14, 0.50, 3.74
12018.39, 0.50, 3.74
12018.65, 0.50, 3.74
12018.91, 0.50, 3.74
12019.16, 0.50, 3.74
12019.42, 0.50, 3.73
12019.67, 0.50, 3.74
12019.93, 0.50, 3.74
12020.18, 0.50, 3.76
12020.43, 0.50, 3.74
12020.69, 0.50, 3.74
12020.94, 0.50, 3.76
12021.20, 0.50, 3.74
12021.45, 0.50, 3.76
12021.70, 0.50, 3.74
12021.96, 0.50, 3.76
12022.22, 0.50, 3.74
12022.48, 0.50, 3.74
12022.73, 0.50, 3.74
12022.98, 0.50, 3.74
12023.25, 0.50, 3.74
12023.50, 0.50, 3.73
12023.76, 0.50, 3.74
12024.01, 0.50, 3.73
12024.27, 0.50, 3.74
12024.52, 0.50, 3.74
12024.78, 0.50, 3.74
12025.04, 0.50, 3.74
12025.29, 0.50, 3.74
12025.54, 0.50, 3.74
12025.79, 0.50, 3.73
12026.05, 0.50, 3.74
12026.30, 0.50, 3.74
12026.56, 0.50, 3.74
12026.81, 0.50, 3.74
12027.07, 0.50, 3.74
12027.32, 0.50, 3.74
12027.58, 0.50, 3.74
12027.83, 0.50, 3.74
12028.09, 0.50, 3.74
12028.34, 0.50, 3.76
12028.59, 0.50, 3.73
12028.85, 0.50, 3.73
12029.10, 0.50, 3.74
12029.36, 0.50, 3.74
12029.62, 0.50, 3.74
12029.88, 0.50, 3.74
12030.13, 0.50, 3.74
12030.39, 0.50, 3.74
12030.64, 0.50, 3.74
12030.90, 0.50, 3.74
12031.15, 0.50, 3.74
12031.40, 0.50, 3.76
12031.66, 0.50, 3.74
12031.91, 0.50, 3.73
12032.16, 0.50, 3.74
12032.41, 0.50, 3.76
12032.67, 0.50, 3.73
12032.93, 0.50, 3.74
12033.18, 0.50, 3.74
12033.43, 0.50, 3.74
12033.68, 0.50, 3.74
12033.93, 0.50, 3.74
12034.19, 0.50, 3.74
12034.45, 0.50, 3.74
12034.70, 0.50, 3.74
12034.96, 0.50, 3.74
12035.22, 0.50, 3.74
12035.47, 0.50, 3.74
12035.73, 0.50, 3.74
12035.99, 0.50, 3.74
12036.24, 0.50, 3.74
12036.49, 0.50, 3.73
12036.74, 0.50, 3.74
12037.00, 0.50, 3.74
12037.26, 0.50, 3.74
12037.51, 0.50, 3.74
12037.76, 0.50, 3.74
12038.02, 0.50, 3.74
12038.27, 0.50, 3.74
12038.53, 0.50, 3.74
12038.78, 0.50, 3.74
12039.04, 0.50, 3.74
12039.29, 0.50, 3.74
12039.55, 0.50, 3.74
12039.80, 0.50, 3.74
12040.06, 0.50, 3.74
12040.31, 0.50, 3.73
12040.57, 0.50, 3.73
12040.82, 0.50, 3.74
12041.08, 0.50, 3.74
12041.34, 0.50, 3.74
12041.59, 0.50, 3.74
12041.84, 0.50, 3.74
12042.10, 0.50, 3.74
12042.36, 0.50, 3.74
12042.61, 0.50, 3.74
12042.86, 0.50, 3.73
12043.11, 0.50, 3.73
12043.37, 0.50, 3.74
12043.62, 0.50, 3.74
12043.88, 0.50, 3.74
12044.13, 0.50, 3.73
12044.39, 0.50, 3.73
12044.64, 0.50, 3.73
12044.89, 0.50, 3.76
12045.15, 0.50, 3.74
12045.41, 0.50, 3.74
12045.66, 0.50, 3.74
12045.91, 0.50, 3.74
12046.17, 0.50, 3.74
12046.42, 0.50, 3.74
12046.67, 0.50, 3.73
12046.93, 0.50, 3.74
12047.18, 0.50, 3.74
12047.44, 0.50, 3.74
12047.69, 0.50, 3.74
12047.95, 0.50, 3.74
12048.20, 0.50, 3.73
12048.45, 0.50, 3.73
12048.70, 0.50, 3.74
12048.96, 0.50, 3.76
12049.21, 0.50, 3.74
12049.47, 0.50, 3.74
12049.73, 0.50, 3.74
12049.98, 0.50, 3.74
12050.24, 0.50, 3.74
12050.50, 0.50, 3.76
12050.75, 0.50, 3.74
12051.00, 0.50, 3.74
12051.25, 0.50, 3.74
12051.51, 0.50, 3.74
12051.76, 0.50, 3.74
12052.02, 0.50, 3.74
12052.28, 0.50, 3.74
12052.53, 0.50, 3.74
12052.79, 0.50, 3.74
12053.04, 0.50, 3.73
12053.29, 0.50, 3.74
12053.55, 0.50, 3.74
12053.80, 0.50, 3.74
12054.05, 0.50, 3.73
12054.31, 0.50, 3.73
12054.57, 0.50, 3.73
12054.82, 0.50, 3.74
12055.08, 0.50, 3.74
12055.34, 0.50, 3.74
12055.60, 0.50, 3.74
12055.86, 0.50, 3.74
12056.11, 0.50, 3.74
12056.36, 0.50, 3.74
12056.61, 0.50, 3.74
12056.87, 0.50, 3.74
12057.13, 0.50, 3.74
12057.38, 0.50, 3.73
12057.64, 0.50, 3.74
12057.89, 0.50, 3.74
12058.14, 0.50, 3.74
12058.40, 0.50, 3.73
12058.65, 0.50, 3.73
12058.91, 0.50, 3.74
12059.16, 0.50, 3.74
12059.41, 0.50, 3.74
12059.67, 0.50, 3.74
12059.92, 0.50, 3.73
12060.18, 0.50, 3.74
12060.43, 0.50, 3.74
12060.69, 0.50, 3.73
12060.95, 0.50, 3.73
12061.20, 0.50, 3.73
12061.45, 0.50, 3.74
12061.70, 0.50, 3.73
12061.96, 0.50, 3.74
12062.21, 0.50, 3.73
12062.46, 0.50, 3.74
12062.72, 0.50, 3.74
12062.98, 0.50, 3.73
12063.23, 0.50, 3.74
12063.48, 0.50, 3.73
12063.74, 0.50, 3.74
12064.00, 0.50, 3.73
12064.25, 0.50, 3.74
12064.51, 0.50, 3.73
12064.76, 0.50, 3.74
12065.02, 0.50, 3.74
12065.27, 0.50, 3.74
12065.52, 0.50, 3.74
12065.78, 0.50, 3.73
12066.04, 0.50, 3.74
12066.29, 0.50, 3.74
12066.54, 0.50, 3.74
12066.80, 0.50, 3.74
12067.05, 0.50, 3.74
12067.30, 0.50, 3.74
12067.55, 0.50, 3.76
12067.81, 0.50, 3.74
12068.07, 0.50, 3.74
12068.32, 0.50, 3.73
12068.57, 0.50, 3.74
12068.83, 0.50, 3.74
12069.08, 0.50, 3.74
12069.33, 0.50, 3.74
12069.59, 0.50, 3.74
12069.85, 0.50, 3.74
12070.10, 0.50, 3.73
12070.35, 0.50, 3.74
12070.61, 0.50, 3.74
12070.86, 0.50, 3.74
12071.12, 0.50, 3.74
12071.38, 0.50, 3.74
12071.64, 0.50, 3.74
12071.89, 0.50, 3.74
12072.15, 0.50, 3.73
12072.40, 0.50, 3.74
12072.65, 0.50, 3.74
12072.91, 0.50, 3.74
12073.17, 0.50, 3.74
12073.42, 0.50, 3.73
12073.68, 0.50, 3.74
12073.93, 0.50, 3.73
12074.20, 0.50, 3.73
12074.45, 0.50, 3.74
12074.70, 0.50, 3.74
12074.95, 0.50, 3.74
12075.21, 0.50, 3.74
12075.46, 0.50, 3.74
12075.72, 0.50, 3.74
12075.97, 0.50, 3.74
12076.22, 0.50, 3.74
12076.48, 0.50, 3.74
12076.74, 0.50, 3.74
12077.00, 0.50, 3.74
12077.26, 0.50, 3.74
12077.51, 0.50, 3.74
12077.77, 0.50, 3.76
12078.03, 0.50, 3.74
12078.28, 0.50, 3.74
12078.53, 0.50, 3.74
12078.79, 0.50, 3.73
12079.05, 0.50, 3.74
12079.31, 0.50, 3.73
12079.57, 0.50, 3.73
12079.83, 0.50, 3.74
12080.09, 0.50, 3.74
12080.34, 0.50, 3.73
12080.60, 0.50, 3.74
12080.85, 0.50, 3.73
12081.10, 0.50, 3.74
12081.35, 0.50, 3.73
12081.61, 0.50, 3.74
12081.86, 0.50, 3.74
12082.12, 0.50, 3.74
12082.37, 0.50, 3.74
12082.62, 0.50, 3.74
12082.87, 0.50, 3.74
12083.13, 0.50, 3.74
12083.38, 0.50, 3.74
12083.63, 0.50, 3.74
12083.89, 0.50, 3.74
12084.14, 0.50, 3.73
12084.40, 0.50, 3.74
12084.65, 0.50, 3.74
12084.90, 0.50, 3.74
12085.16, 0.50, 3.74
12085.41, 0.50, 3.76
12085.66, 0.50, 3.74
12085.92, 0.50, 3.73
12086.17, 0.50, 3.74
12086.42, 0.50, 3.76
12086.68, 0.50, 3.74
12086.93, 0.50, 3.74
12087.18, 0.50, 3.74
12087.43, 0.50, 3.74
12087.69, 0.50, 3.73
12087.94, 0.50, 3.74
12088.20, 0.50, 3.73
12088.45, 0.50, 3.73
12088.70, 0.50, 3.74
12088.95, 0.50, 3.74
12089.21, 0.50, 3.74
12089.46, 0.50, 3.74
12089.72, 0.50, 3.74
12089.97, 0.50, 3.74
12090.22, 0.50, 3.73
12090.49, 0.50, 3.74
12090.75, 0.50, 3.74
12091.00, 0.50, 3.74
12091.26, 0.50, 3.74
12091.52, 0.50, 3.74
12091.79, 0.50, 3.74
12092.05, 0.50, 3.74
12092.30, 0.50, 3.74
12092.56, 0.50, 3.74
12092.82, 0.50, 3.74
12093.07, 0.50, 3.74
12093.33, 0.50, 3.74
12093.58, 0.50, 3.74
12093.84, 0.50, 3.76
12094.09, 0.50, 3.74
12094.36, 0.50, 3.74
12094.62, 0.50, 3.74
12094.87, 0.50, 3.74
12095.13, 0.50, 3.74
12095.39, 0.50, 3.74
12095.64, 0.50, 3.74
12095.89, 0.50, 3.74
12096.15, 0.50, 3.74
12096.40, 0.50, 3.73
12096.66, 0.50, 3.74
12096.91, 0.50, 3.74
12097.17, 0.50, 3.76
12097.43, 0.50, 3.74
12097.69, 0.50, 3.74
12097.95, 0.50, 3.74
12098.20, 0.50, 3.74
12098.46, 0.50, 3.74
12098.71, 0.50, 3.73
12098.97, 0.50, 3.74
12099.23, 0.50, 3.74
12099.48, 0.50, 3.73
12099.73, 0.50, 3.74
12099.98, 0.50, 3.73
12100.24, 0.50, 3.73
12100.50, 0.50, 3.74
12100.75, 0.50, 3.74
12101.01, 0.50, 3.74
12101.26, 0.50, 3.74
12101.52, 0.50, 3.74
12101.77, 0.50, 3.74
12102.03, 0.50, 3.74
12102.28, 0.50, 3.74
12102.53, 0.50, 3.74
12102.79, 0.50, 3.74
12103.04, 0.50, 3.74
12103.30, 0.50, 3.74
12103.56, 0.50, 3.73
12103.82, 0.50, 3.74
12104.07, 0.50, 3.74
12104.32, 0.50, 3.74
12104.58, 0.50, 3.74
12104.83, 0.50, 3.74
12105.09, 0.50, 3.74
12105.34, 0.50, 3.74
12105.60, 0.50, 3.74
12105.85, 0.50, 3.74
12106.10, 0.50, 3.74
12106.36, 0.50, 3.74
12106.61, 0.50, 3.76
12106.87, 0.50, 3.74
12107.12, 0.50, 3.74
12107.38, 0.50, 3.74
12107.63, 0.50, 3.74
12107.88, 0.50, 3.74
12108.14, 0.50, 3.74
12108.39, 0.50, 3.74
12108.65, 0.50, 3.76
12108.91, 0.50, 3.74
12109.17, 0.50, 3.74
12109.42, 0.50, 3.74
12109.68, 0.50, 3.74
12109.93, 0.50, 3.74
12110.18, 0.50, 3.74
12110.44, 0.50, 3.74
12110.70, 0.50, 3.74
12110.96, 0.50, 3.74
12111.22, 0.50, 3.74
12111.48, 0.50, 3.76
12111.73, 0.50, 3.74
12111.99, 0.50, 3.74
12112.24, 0.50, 3.74
12112.50, 0.50, 3.74
12112.75, 0.50, 3.76
12113.01, 0.50, 3.74
12113.26, 0.50, 3.74
12113.51, 0.50, 3.74
12113.77, 0.50, 3.74
12114.02, 0.50, 3.76
12114.28, 0.50, 3.74
12114.53, 0.50, 3.74
12114.78, 0.50, 3.73
12115.03, 0.50, 3.74
12115.28, 0.50, 3.74
12115.54, 0.50, 3.74
12115.79, 0.50, 3.74
12116.05, 0.50, 3.74
12116.30, 0.50, 3.74
12116.56, 0.50, 3.74
12116.81, 0.50, 3.74
12117.07, 0.50, 3.74
12117.32, 0.50, 3.74
12117.58, 0.50, 3.74
12117.83, 0.50, 3.74
12118.08, 0.50, 3.74
12118.34, 0.50, 3.73
12118.59, 0.50, 3.74
12118.85, 0.50, 3.76
12119.10, 0.50, 3.74
12119.35, 0.50, 3.76
12119.61, 0.50, 3.74
12119.86, 0.50, 3.74
12120.12, 0.50, 3.74
12120.38, 0.50, 3.74
12120.63, 0.50, 3.76
12120.89, 0.50, 3.74
12121.14, 0.50, 3.74
12121.40, 0.50, 3.74
12121.65, 0.50, 3.74
12121.91, 0.50, 3.73
12122.16, 0.50, 3.74
12122.42, 0.50, 3.76
12122.67, 0.50, 3.74
12122.92, 0.50, 3.76
12123.18, 0.50, 3.73
12123.44, 0.50, 3.74
12123.69, 0.50, 3.74
12123.95, 0.50, 3.74
12124.21, 0.50, 3.73
12124.46, 0.50, 3.76
12124.71, 0.50, 3.74
12124.96, 0.50, 3.74
12125.23, 0.50, 3.74
12125.48, 0.50, 3.76
12125.73, 0.50, 3.74
12125.99, 0.50, 3.73
12126.25, 0.50, 3.74
12126.50, 0.50, 3.74
12126.76, 0.50, 3.74
12127.02, 0.50, 3.73
12127.28, 0.50, 3.73
12127.54, 0.50, 3.74
12127.80, 0.50, 3.74
12128.05, 0.50, 3.74
12128.31, 0.50, 3.74
12128.57, 0.50, 3.74
12128.82, 0.50, 3.74
12129.08, 0.50, 3.74
12129.33, 0.50, 3.74
12129.59, 0.50, 3.74
12129.85, 0.50, 3.74
12130.10, 0.50, 3.74
12130.36, 0.50, 3.74
12130.62, 0.50, 3.76
12130.87, 0.50, 3.74
12131.12, 0.50, 3.74
12131.38, 0.50, 3.74
12131.63, 0.50, 3.74
12131.89, 0.50, 3.76
12132.15, 0.50, 3.74
12132.40, 0.50, 3.74
12132.65, 0.50, 3.74
12132.91, 0.50, 3.74
12133.17, 0.50, 3.76
12133.42, 0.50, 3.74
12133.67, 0.50, 3.74
12133.93, 0.50, 3.74
12134.19, 0.50, 3.74
12134.44, 0.50, 3.74
12134.69, 0.50, 3.74
12134.95, 0.50, 3.74
12135.21, 0.50, 3.74
12135.46, 0.50, 3.74
12135.71, 0.50, 3.74
12135.97, 0.50, 3.74
12136.22, 0.50, 3.74
12136.48, 0.50, 3.74
12136.73, 0.50, 3.74
12136.98, 0.50, 3.73
12137.24, 0.50, 3.74
12137.49, 0.50, 3.74
12137.75, 0.50, 3.74
12138.01, 0.50, 3.73
12138.26, 0.50, 3.74
12138.52, 0.50, 3.74
12138.77, 0.50, 3.74
12139.03, 0.50, 3.74
12139.28, 0.50, 3.74
12139.54, 0.50, 3.76
12139.79, 0.50, 3.73
12140.04, 0.50, 3.73
12140.29, 0.50, 3.74
12140.55, 0.50, 3.73
12140.80, 0.50, 3.74
12141.06, 0.50, 3.74
12141.31, 0.50, 3.74
12141.57, 0.50, 3.74
12141.82, 0.50, 3.74
12142.07, 0.50, 3.74
12142.32, 0.50, 3.73
12142.58, 0.50, 3.74
12142.83, 0.50, 3.74
12143.09, 0.50, 3.74
12143.34, 0.50, 3.74
12143.60, 0.50, 3.74
12143.85, 0.50, 3.74
12144.11, 0.50, 3.74
12144.36, 0.50, 3.73
12144.61, 0.50, 3.74
12144.87, 0.50, 3.74
12145.12, 0.50, 3.74
12145.38, 0.50, 3.74
12145.63, 0.50, 3.74
12145.88, 0.50, 3.74
12146.13, 0.50, 3.74
12146.39, 0.50, 3.73
12146.65, 0.50, 3.73
12146.90, 0.50, 3.73
12147.16, 0.50, 3.74
12147.41, 0.50, 3.74
12147.67, 0.50, 3.74
12147.93, 0.50, 3.74
12148.18, 0.50, 3.74
12148.44, 0.50, 3.74
12148.69, 0.50, 3.74
12148.95, 0.50, 3.74
12149.20, 0.50, 3.74
12149.46, 0.50, 3.73
12149.71, 0.50, 3.73
12149.96, 0.50, 3.73
12150.22, 0.50, 3.74
12150.47, 0.50, 3.74
12150.72, 0.50, 3.74
12150.98, 0.50, 3.74
12151.23, 0.50, 3.74
12151.49, 0.50, 3.73
12151.74, 0.50, 3.74
12152.00, 0.50, 3.74
12152.26, 0.50, 3.74
12152.51, 0.50, 3.74
12152.77, 0.50, 3.74
12153.03, 0.50, 3.74
12153.28, 0.50, 3.73
12153.54, 0.50, 3.74
12153.79, 0.50, 3.76
12154.05, 0.50, 3.74
12154.31, 0.50, 3.74
12154.57, 0.50, 3.74
12154.82, 0.50, 3.73
12155.07, 0.50, 3.74
12155.32, 0.50, 3.74
12155.58, 0.50, 3.74
12155.83, 0.50, 3.74
12156.08, 0.50, 3.74
12156.34, 0.50, 3.74
12156.59, 0.50, 3.74
12156.84, 0.50, 3.73
12157.09, 0.50, 3.73
12157.35, 0.50, 3.74
12157.60, 0.50, 3.74
12157.86, 0.50, 3.74
12158.12, 0.50, 3.74
12158.37, 0.50, 3.73
12158.63, 0.50, 3.74
12158.89, 0.50, 3.74
12159.14, 0.50, 3.74
12159.40, 0.50, 3.74
12159.65, 0.50, 3.73
12159.91, 0.50, 3.74
12160.16, 0.50, 3.73
12160.42, 0.50, 3.74
12160.67, 0.50, 3.74
12160.93, 0.50, 3.74
12161.18, 0.50, 3.74
12161.44, 0.50, 3.74
12161.69, 0.50, 3.74
12161.95, 0.50, 3.74
12162.21, 0.50, 3.73
12162.46, 0.50, 3.74
12162.72, 0.50, 3.73
12162.97, 0.50, 3.74
12163.23, 0.50, 3.74
12163.48, 0.50, 3.74
12163.73, 0.50, 3.74
12163.99, 0.50, 3.74
12164.24, 0.50, 3.74
12164.49, 0.50, 3.74
12164.75, 0.50, 3.74
12165.00, 0.50, 3.74
12165.25, 0.50, 3.74
12165.51, 0.50, 3.74
12165.76, 0.50, 3.76
12166.01, 0.50, 3.74
12166.27, 0.50, 3.74
12166.52, 0.50, 3.74
12166.77, 0.50, 3.74
12167.02, 0.50, 3.74
12167.28, 0.50, 3.74
12167.54, 0.50, 3.74
12167.79, 0.50, 3.73
12168.05, 0.50, 3.74
12168.30, 0.50, 3.74
12168.55, 0.50, 3.74
12168.81, 0.50, 3.74
12169.06, 0.50, 3.74
12169.32, 0.50, 3.74
12169.58, 0.50, 3.74
12169.83, 0.50, 3.76
12170.09, 0.50, 3.74
12170.34, 0.50, 3.73
12170.60, 0.50, 3.73
12170.85, 0.50, 3.73
12171.11, 0.50, 3.74
12171.36, 0.50, 3.74
12171.62, 0.50, 3.74
12171.88, 0.50, 3.74
12172.13, 0.50, 3.73
12172.39, 0.50, 3.73
12172.64, 0.50, 3.76
12172.90, 0.50, 3.74
12173.16, 0.50, 3.74
12173.41, 0.50, 3.76
12173.66, 0.50, 3.76
12173.92, 0.50, 3.74
12174.18, 0.50, 3.74
12174.43, 0.50, 3.74
12174.69, 0.50, 3.74
12174.94, 0.50, 3.74
12175.20, 0.50, 3.74
12175.45, 0.50, 3.74
12175.70, 0.50, 3.74
12175.96, 0.50, 3.74
12176.21, 0.50, 3.74
12176.46, 0.50, 3.74
12176.72, 0.50, 3.74
12176.97, 0.50, 3.74
12177.22, 0.50, 3.74
12177.47, 0.50, 3.74
12177.72, 0.50, 3.74
12177.98, 0.50, 3.73
12178.24, 0.50, 3.73
12178.49, 0.50, 3.74
12178.75, 0.50, 3.73
12179.01, 0.50, 3.74
12179.26, 0.50, 3.74
12179.52, 0.50, 3.74
12179.77, 0.50, 3.74
12180.03, 0.50, 3.74
12180.29, 0.50, 3.74
